A,Aufsichtsrechts
I,Beurkundungen (AG)
II,Sonstiges in der freiwilligen Gerichtsbarkeit (AG)
III,Standesamtssachen (AG)
IV,Verfügungen von Todes wegen (AG)
V,Auseinandersetzungen (AG)
VI,Sonstige Nachlasssachen (AG)
VII,Vormundschaften (AG)
VIII,Pflegschaften (AG)
IX,Beistandschaften (AG)
X,Andere vormundschaftsgerichtliche Angelegenheiten (AG)
XI,Erziehungsbeistandschaften (AG)
XII,Fürsorgeerziehungen (AG)
XIV,Unterbringungssachen (AG)
XVI,Adoptionssachen (AG)
XV,Landwirtschaftssachen (AG)
XVI,Adoptionssachen (AG)
XVII,Betreuungssachen (AG)
ABR,Rechtsbeschwerden (BAG)
AK,Aktenkontrolle für Haftprüfungsverfahren (BGH-Strafsachen)
AktE,Anträge auf gerichtliche Entscheidung nach dem AktG, dem EGAktG und verwandten Gesetzen (LG)
AnwSt,Anträge auf Einleitung des anwaltsgerichtlichen Verfahrens und Beschwerden in Ordnungsmittelverfahren gegen Rechtsanwälte beim Bundesgerichtshof (BGH, GenBAnw.)
AnwSt(B),Beschwerden gegen die Nichtzulassung der Revision und Beschwerden gegen Entscheidungen eines Anwaltsgerichtshofes (BGH, GenBAnw.)
AnwSt(R),Revisionen gegen Urteile eines Anwaltsgerichtshofes (BGH, GenBAnw.)
AnwZ,Klagen über Entscheidungen in Zulassungssachen oder gegen sonstige Verwaltungsakte betreffend Rechtsanwälte beim Bundesgerichtshof (BGH)
AnwZ(B),Beschwerden gegen Entscheidungen eines Anwaltsgerichtshofes (BGH)
AnwZ(Brfg),Berufungen und Anträge auf Zulassung der Berufung gegen Entscheidungen eines Anwaltsgerichtshofes (BGH)
AnwZ(P),Klagen über die Anfechtung von Wahlen und Beschlüssen der Rechtsanwaltskammer beim BGH und der Bundesrechtsanwaltskammer (BGH)
AR,Allgemeines Register (GenBAnw.)
AR(Kart),Rechtsbeschwerden in Kartellbußgeldverfahren (GenBAnw.)
AR(Ri),Allgemeines Register beim Dienstgericht des Bundes (BGH)
ARP,Allgemeines Register für Staatsschutzstrafsachen (GenBAnw.)
AR(Enw),Rechtsbeschwerden in Bußgeldverfahren nach dem EnWG (GenBAnw.)
ARs,Allgemeine Register und Gerichtsstandsbestimmungen (BGH-Strafsachen)
ARV,Vorlagen nach §§ 80, 86 BetrVG (BAG)
AR(Vollz),Vorlegungssachen in Strafvollzugssachen (BGH-Strafsachen)
AR(VS),Entscheidungen über Justizverwaltungsakte (BGH-Strafsachen)
AR(VZ),Entscheidungen über Justizverwaltungsakte (BGH-Zivilsachen)
ARZ,Allgemeine Register und Gerichtsstandsbestimmungen (BGH-Zivilsachen)
Ausl,Auslieferungssachen, Durchlieferungssachen (GenStA)
AZA,Prozesskostenhilfeanträge außerhalb anhängiger Verfahren (BAG)
AZB,Revisionsbeschwerden (BAG)
AZR,Revisionen (BAG)
B,Mahnsachen (AG)
Ba,Arbeitsgerichtliche Mahnsachen (ArbG)
BAusl,Auslieferungssachen (GenBAnw.)
BGns,Gnadensachen (GenBAnw.)
BGs,Einzelne richterliche Anordnungen des Ermittlungsrichters (BGH-Strafsachen)
BJs,Ermittlungsverfahren des Generalbundesanwalts beim Bundesgerichtshof (GenBAnw.)
BLw,Rechtsbeschwerden in Landwirtschaftssachen der freiwilligen Gerichtsbarkeit (BGH-Zivilsachen)
Bs,Privatklage- und Bußgeldsachen (AG)
BS,Beschlussverfahren (ArbG)
BSch,Zusatz bei Binnenschifffahrtssachen (AG, OLG)
BSR,Binnenschiffsregister (AG)
BV,Beschlussverfahren (ArbG)
BvA,Verwirkung von Grundrechten, Art. 18 GG (BVerfG)
BvB,Feststellung der Verfassungswidrigkeit von Parteien, Art. 21 Abs. 2 GG (BVerfG)
BvC,Beschwerden im Wahlprüfungsverfahren, Art. 41 Abs. 2 GG (BVerfG)
BvD,Anklagen gegen den Bundespräsidenten, Art. 61 GG (BVerfG)
BvE,Verfassungsstreitigkeiten zwischen Bundesorganen, Art. 93 Abs. 1 Nr. 1 GG (BVerfG)
BvF,Normenkontrolle auf Antrag von Verfassungsorganen, Art. 93 Abs. 1 Nr. 2 GG (BVerfG)
BvG,Verfassungsstreitigkeiten zwischen Bund und Ländern, Art. 93 Abs. 1 Nr. 3; Art. 84 Abs. 4 Satz 2 GG (BVerfG)
BvH,Öffentlich-rechtliche Streitigkeiten nach Art. 93 Abs. 1 Nr. 4 GG (BVerfG)
BvJ,Richteranklagen, Art. 98 Abs. 2 und 5 GG (BVerfG)
BvK,Landesverfassungsstreitigkeiten kraft landesrechtlicher Zuweisung, Art. 99 GG (BVerfG)
BvL,Normenkontrolle auf Vorlage der Gerichte, Art. 100 Abs. 1 GG (BVerfG)
BvM,Völkerrechtsregel als Teil des Bundesrechts, Art. 100 Abs. 2 GG (BVerfG)
BvN,Auslegung des Grundgesetzes auf Vorlage eines Landesverfassungsgerichts, Art. 100 Art. 3 GG (BVerfG)
BvO,Meinungsverschiedenheiten über das Fortgelten von Recht als Bundesrecht, Art. 126 GG (BVerfG)
BvP,Verfahren in den sonst durch Bundesgesetz zugewiesenen Fällen, Art. 93 Abs. 2 GG (BVerfG)
BvQ,Einstweilige Anordnungen, § 32 BVerfGG (BVerfG)
BvR,Verfassungsbeschwerden, Art. 93 Abs. 1 Nr. 4a und 4b GG (BVerfG)
BvT,Sonstige Verfahren (BVerfG)
BW-RegSt,Rechtsbeschwerden in Wirtschaftsstrafsachen usw. (BayObLG)
BZR,Bundeszentralregister
C,Allgemeine Zivilsachen (AG)
C,Rechtssache (EuGH) Beispiel: C-150/12: 150. Rechtssache (Rs.) im Jahr 2012
Ca,Allgemeine Zivilsachen am Arbeitsgericht (ArbG)
Cs,Strafbefehle (AG)
DG,Dienstgericht für Richter (LG, OLG)
DGH,Dienstgerichtshof für Richter (OLG)
DR,Aufträge an Gerichtsvollzieher (GV)
Ds,Strafsachen des Einzelrichters (AG)
EG,Anträge auf Einleitung des ehrengerichtlichen Verfahrens (EG f. RA)
EGH,Berufungen, Beschwerden und Anträge auf gerichtliche Entscheidungen (EGH f. RA)
EnRB,Rechtsbeschwerden in Bußgeldverfahren nach dem EnWG (BGH)
EnVR,Rechtsbeschwerden in energiewirtschaftsrechtlichen Verwaltungssachen nach dem EnWG (BGH)
EnVZ,Nichtzulassungsbeschwerden in energiewirtschaftsrechtlichen Verwaltungssachen nach dem EnWG (BGH)
EnZA,Anträge außerhalb eines in der Rechtsmittelinstanz anhängigen Rechtsstreits in bürgerlichen Rechtsstreitigkeiten nach dem EnWG (BGH)
EnZB,Rechtsbeschwerden und Beschwerden in bürgerlichen Rechtsstreitigkeiten nach dem EnWG (BGH)
EnZR,Revisionen, Beschwerden gegen die Nichtzulassung der Revision und Anträge auf Zulassung der Sprungrevision in bürgerlichen Rechtsstreitigkeiten nach dem EnWG (BGH)
EV,Ehrengerichtliche Verfahren gegen Rechtsanwälte (GenStA)
EVY,Zweitinstanzliche Ehrengerichtsverfahren gegen Rechtsanwälte (GenStA)
EWs,Entlassungs- und Widerrufssachen (StA)
F,Familiensachen (AG)
F,Rechtssache (GöD) Beispiel: F-150/12: 150. Rechtssache (Rs.) im Jahr 2012
FA,Register für Führungsaufsichten
FH,Familiensachen außerhalb anhängiger Verfahren (AG)
Ga,Arreste und einstweilige Verfügungen (ArbG)
GH,Register für Gerichtshilfe
GnR,Genossenschaftsregister (AG)
Gns,Gnadensachen (StA)
GR,Güterrechtsregister (AG)
Gs,Einzelne richterliche Anordnungen in Strafsachen (AG)
GS,Großer Senat (BAG)
GSSt,Großer Senat (BGH-Strafsachen)
GSZ,Großer Senat (BGH-Zivilsachen)
H,Anträge außerhalb anhängiger Zivilverfahren (AG)
Ha,Anträge außerhalb anhängiger Verfahren (ArbG)
HEs,Register für Haftentscheidungen (OLG)
HL,Hinterlegungssachen (AG)
HRA,Handelsregister (Einzelkaufleute, Personengesellschaften) (AG)
HRB,Handelsregister (Kapitalgesellschaften) (AG)
Hs,Zivilsachen (StA)
IE,Insolvenzverfahren nach Europäischem Recht
IK,Verbraucher- und Kleininsolvenzverfahren (AG)
IN,Insolvenzverfahren (AG)
J,Verteilungssachen (AG)
JL,Aufträge der Justizbehörden an Gerichtsvollzieher (GV)
Js,Ermittlungsverfahren (StA)
K,Zwangsversteigerungssachen (AG)
KLs,Zusatz bei Strafsachen vor der Großen Strafkammer (LG)
KRB,Rechtsbeschwerden in Kartellbußgeldverfahren (BGH)
Ks,Zusatz bei Schwurgerichtssachen (LG)
KVR,Rechtsbeschwerden in Kartellverwaltungssachen (BGH)
KVZ,Nichtzulassungsbeschwerden in Kartellverwaltungssachen (BGH)
KZA,Anträge außerhalb eines in der Revisionsinstanz anhängigen Rechtsstreits in Kartellsachen (BGH)
KZB,Rechtsbeschwerden und Beschwerden in bürgerlichen Rechtsstreitigkeiten in Kartellsachen (BGH)
KZR,Revisionen, Beschwerden gegen die Nichtzulassung der Revision und Anträge auf Zulassung der Sprungrevision in bürgerlichen Rechtsstreitigkeiten in Kartellsachen (BGH)
L,Zwangsverwaltungssachen (AG)
Li,Zwangslizenzverfahren (BPatG)
LiQ,Einstweilige Verfügung in Zwangslizenzverfahren (BPatG)
LiR,Rücknahmeklagen in Zwangslizenzsachen (BPatG)
Ls,Strafsachen vor dem Schöffengericht (AG)
Lw,Landwirtschaftssachen (AG)
LwE,Landwirtschaftliche Entschuldungssachen (AG)
LwG,Landwirtschaftliche Genehmigungsverfahren (AG)
LwH,Höfesachen (AG)
LwP,Landpachtsachen (AG)
LwS,Anträge nach § 10 RSiedlG (AG)
LwV,Geschäfte nach § 1 Nr. 4 LwVG (AG)
LwZ,Zuweisungsverfahren (AG)
LwZA,Anträge außerhalb eines in der Revisionsinstanz für Landwirtschaftssachen anhängigen Verfahrens (BGH-Zivilsachen)
LwZB,Beschwerden und Rechtsbeschwerden in Landwirtschaftssachen der streitigen bürgerlichen Gerichtsbarkeit (BGH-Zivilsachen)
LwZR,Revisionen, Beschwerden gegen die Nichtzulassung der Revision und Anträge auf Zulassung der Sprungrevision in Landwirtschaftssachen (BGH-Zivilsachen)
M,Allgemeine Zwangsvollstreckungssachen (AG)
MR,Musterregister (AG)
Ni,Patentnichtigkeitsverfahren (BPatG)
NotSt(B),Beschwerden gegen Beschlüsse der Oberlandesgerichte in Disziplinarsachen gegen Notare (BGH)
NotSt(Brfg),Berufungen und Anträge auf Zulassung der Berufung gegen Urteile der Oberlandesgerichte in Disziplinarsachen gegen Notare (BGH)
NotZ,Verwaltungsstreitverfahren in Notarsachen und Beschwerden gegen Entscheidungen der Oberlandesgerichte (BGH)
NotZ(Brfg),Berufungen und Anträge auf Zulassung der Berufung gegen Entscheidungen der Oberlandesgerichte in Notarsachen (BGH)
Ns,Berufungen in Strafsachen (LG)
O,Allgemeine Zivilsachen 1. Instanz (LG)
ObJs,Strafsachen 1. Instanz (GenStA)
ObSs,Revisionen in Strafsachen und Rechtsbeschwerden in Bußgeldsachen (GenStA)
OH,Anträge außerhalb anhängiger Verfahren der 1. Instanz (LG)
OJs,Erstinstanzliche Strafsachen (GenStA)
OWi,Bußgeldverfahren (AG)
PatAnwZ,Verwaltungsstreitverfahren in Patentanwaltssachen; Berufungen und Anträge auf Zulassung der Berufung und Beschwerden gegen Entscheidungen der Oberlandesgerichte (BGH)
PatAnwSt(B),Beschwerden gegen die Nichtzulassung der Revision und Beschwerden nach der PatAO (BGH, GenBAnw.)
PatAnwSt(R),Revisionen nach der PatAO (BGH, GenBAnw.)
PBvU,Plenarentscheidungen, § 16 BVerfGG (BVerfG)
PK,Pachtkreditregister (AG)
PLs,Strafprozessliste (Amtsanwalt)
PR,Partnerschaftsregistersachen (AG)
Ps,Berufungen in Privatklagesachen (LG)
Qs,Beschwerden in Straf- und Bußgeldsachen (LG)
RE-Miet,Rechtsentscheide in Mietsachen (OLG)
RiSt,Disziplinarsachen und Anträge auf Einleitung oder Einstellung des förmlichen Disziplinarverfahrens, auf vorläufige Dienstenthebung, auf Einbehaltung von Dienstbezügen sowie auf Aufhebung dieser Maßnahmen gegen Richter und Staatsanwälte im Bundesdienst sowie Mitglieder des Bundesrechnungshofes (BGH)
RiSt(B),Beschwerden gegen die Nichtzulassung der Revision und Beschwerden der Richter, Staatsanwälte und Mitglieder des Bundesrechnungshofes gegen Disziplinarverfügungen (BGH)
RiSt(R),Revisionen in Disziplinarsachen nach dem Deutschen Richtergesetz (BGH)
RiZ,Anträge betreffend Richter im Bundesdienst und Mitglieder des Bundesrechnungshofes auf gerichtliche Entscheidung im Versetzungs- und Prüfungsverfahren sowie auf vorläufige Untersagung der Amtsgeschäfte (BGH)
RiZ(B),Beschwerden gegen die Nichtzulassung der Revision nach dem Deutschen Richtergesetz (BGH)
RiZ(R),Revisionen in Versetzungs- und Prüfungsverfahren nach dem Deutschen Richtergesetz (BGH)
RS,Zivilsachen (GenStA)
S,Berufungen in Zivilsachen (LG)
Sa,Berufungssachen (LArbG)
SBR,Schiffsbauregister (AG)
SH,Anträge außerhalb anhängiger Berufungsverfahren (LG)
SHa,Anträge außerhalb anhängiger Berufungsverfahren (LArbG)
Ss,Revisionen in Strafsachen und Rechtsbeschwerden in Bußgeldsachen (OLG)
Ss (B),Rechtsbeschwerden in Bußgeldsachen (OLG)
Ss (OWi),Rechtsbeschwerden in Bußgeldsachen (OLG)
SSR,Seeschiffsregister (AG)
StB,Beschwerden (BGH-Strafsachen)
StbSt(B),Beschwerden gegen die Nichtzulassung der Revision und Beschwerden in berufsgerichtlichen Verfahren in Steuerberater- und Steuerbevollmächtigtensachen (BGH, GenBAnw.)
StbSt(R),Revisionen in berufsgerichtlichen Verfahren in Steuerberater- und Steuerbevollmächtigtensachen (BGH, GenBAnw.)
StE,Strafsachen vor den Oberlandesgerichten, in denen der Generalbundesanwalt beim Bundesgerichtshof Anklage erhoben hat (GenBAnw.)
StR,Revisionen und Vorlegungssachen (BGH-Strafsachen, GenBAnw.)
StrEs,Register für Entschädigungssachen nach dem StrEG (GenStA)
StVK,Verfahren vor der Strafvollstreckungskammer (LG)
T,Beschwerden in Zivilsachen (LG)
T,Rechtssache (EuG) Beispiel: T-150/12: 150. Rechtssache (Rs.) im Jahr 2012
Ta,Allgemeine arbeitsgerichtliche Beschwerdesachen (LArbG)
TaBV,Beschwerdesachen in Beschlussverfahren (LArbG)
U,Berufungen in Zivilsachen (OLG)
UF,Berufungen und Beschwerden gegen Endentscheidungen in Familiensachen (OLG)
UFH,Anträge außerhalb anhängiger Berufungsverfahren in Familiensachen (OLG)
UH,Anträge außerhalb anhängiger Berufungsverfahren (OLG)
UJs,Ermittlungsverfahren gegen Unbekannt (StA)
UV,Unterbringungsverfahren (AG)
V,Auseinandersetzungen (AG)
VA,Entscheidungen über Justizverwaltungsakte in Zivilsachen (OLG)
VAs,Entscheidungen über Justizverwaltungsakte in Strafsachen (OLG)
VerwB,Verwahrungsbuch für Verfügungen von Todes wegen (AG)
VGS,Vereinigte Große Senate (Zivil- und Strafsenate-BGH)
VN,Vergleichsverfahren (AG)
Vollz,Verfahren vor der Strafvollstreckungskammer nach §§ 109, 110 StVollzG (LG)
Vollz (Ws),Verfahren vor dem Strafsenat nach §§ 116, 117 StVollzG (OLG)
VR,Vereinsregister (AG)
VRG,Ersuchen des Bundesverfassungsgerichts zu Vorlagen nach Art. 100 GG und zu Verfassungsbeschwerden (Zivil- und Strafsenate-BGH)
VRJs,Vollstreckungsregister für Jugendgerichtssachen (AG)
VRs,Strafvollstreckungssachen (StA)
Vs,Revisionen in Privatklagesachen (OLG)
W,Beschwerden in Zivilsachen (OLG)
W-(pat),Beschwerden in Patent-, Gebrauchsmuster-, Sortenschutz- und Warenzeichensachen (BPatG)
WF,Sonstige Beschwerden in Familiensachen (OLG)
WpSt(B),Beschwerden gegen die Nichtzulassung der Revision und Beschwerden in berufsgerichtlichen Verfahren in Wirtschaftsprüfersachen (BGH, GenBAnw.)
WpSt(R),Revisionen in berufsgerichtlichen Verfahren in Wirtschaftsprüfersachen (BGH, GenBAnw.)
Ws,Beschwerden in Straf- und Bußgeldsachen (OLG)
Ww,Beschwerden in Landwirtschaftssachen (OLG)
Wx,Weitere Beschwerden in freiwilliger Gerichtsbarkeit (OLG)
ZA,Anträge außerhalb eines in der Rechtsmittelinstanz anhängigen Verfahrens (BGH-Zivilsachen)
ZA-(Pat),Anträge außerhalb anhängiger Patentsachen (BPatG)
ZB,Beschwerden, Rechtsbeschwerden, weitere Beschwerden, Beschwerden gegen die Nichtzulassung der Revision nach dem BEG (BGH-Zivilsachen)
ZR,Revisionen, Beschwerden gegen die Nichtzulassung der Revision, Anträge auf Zulassung der Sprungrevision, Berufungen in Patentsachen (BGH-Zivilsachen)
ZR(Ü),Erstinstanzliche Klagen auf Entschädigung wegen überlanger Gerichtsverfahren und strafrechtlicher Ermittlungsverfahren (BGH-Zivilsachen)
Zs,Beschwerden gegen Amts- und Staatsanwälte (GenStA)